"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050769","GO:0050769","positive regulation of neurogenesis","137/3020","485/18866",3.85972792581792e-12,2.22179974784355e-09,1.86707413062293e-09,"SEMA3A/LIN28A/MEF2C/COBL/SLIT2/EPHA4/NTN1/EPHA3/ACTR2/CFLAR/BCL2/EZH2/IL1RAPL1/MACF1/ROBO1/GLI2/PLXNA1/RARB/KDM1A/TIAM2/TENM3/FGF20/FGFR1/ROBO2/KDM4C/NTRK3/TENM4/CHODL/TOX/NRCAM/DPYSL3/ADNP/NTRK2/ATP8A2/ROR2/FYN/PRKCH/ZNF609/ZNF335/PLXNB1/ZMYND8/NCOA1/CSNK1E/GLI3/BEND6/DAB1/NRP1/ETV5/PTPRD/CNR1/BCL6/HGF/SETX/FZD1/DVL2/BRINP1/SOX11/CDH4/PLXNC1/GPRC5B/BDNF/IL2/GDPD5/BMP4/ZNF365/SLITRK1/SYT1/PHOX2B/ALKAL2/PLXND1/BMP6/RNF157/RAPGEF2/VWC2L/BIN1/TCF12/SNX3/FBXO38/EPHB2/ID2/ARSB/PLXNA4/DICER1/NEUROD2/ECT2/NEUROD1/CRABP2/CPEB3/LRP2/ALK/IRX3/DCT/NAP1L1/WNT2/DAB2IP/WNT3/DLG5/TNF/PLXNA2/ARHGAP35/PROX1/OPRM1/SEMA5A/SYT2/DVL3/TMEM106B/DMRTA2/SERPINE2/CAMK1D/CXCL12/NIPBL/TCF4/KATNB1/CBFA2T2/IL6/UNC13A/ITGA6/EFNA5/NUMB/ITPKA/PRKCI/IQGAP1/BRINP3/DISC1/PTN/KIT/FMR1/BMP2/SS18L2/ADCYAP1/SYT4/ZNF804A/PRKN/PTPRZ1/TIAM1/SEMA6A/NDEL1",137
"GO:0050807","GO:0050807","regulation of synapse organization","79/3020","229/18866",4.28690654786776e-12,2.26205768842489e-09,1.90090461398873e-09,"LRFN5/ARHGAP22/GPC4/MEF2C/EPHA7/EPHA4/NTN1/ABI2/GRID2/ACTR2/NRP2/SLITRK6/IL1RAPL1/SLC7A11/NRXN1/ROBO2/NTRK3/GPC6/CTNNA2/NRCAM/ADGRL3/SIX1/ADNP/SLITRK3/NTRK2/FYN/ZMYND8/LRRTM1/ETV5/CBLN1/PTPRD/EPHB1/FZD1/IL1RAPL2/RAB17/ADGRB3/BDNF/CDH8/UBE3A/PTK2/SHISA6/SLITRK1/DNM3/ASIC2/LRRTM3/CDH2/CLSTN2/THBS2/EPHB2/PDLIM5/NEUROD2/LRRK2/DAB2IP/SLITRK5/MIR30B/DLG5/TNF/APP/CBLN2/GRIN2B/VCP/IL1RAP/CTTNBP2/PPFIA2/CLSTN1/CDK5R1/EFNA5/ITPKA/EFNA1/SLITRK2/SIPA1L1/DISC1/COLQ/PTN/GAP43/ZNF804A/PRNP/TIAM1/LRRN3",79
"GO:0090596","GO:0090596","sensory organ morphogenesis","87/3020","269/18866",1.91908032277132e-11,9.34739738752921e-09,7.85502107822591e-09,"JAG1/KDM2B/FRZB/NTN1/ABI2/TFAP2A/IHH/RORB/BCL2/SLITRK6/GLI2/RARB/INTU/PTPRM/PAX2/FGFR2/SPRY2/MAFB/TENM3/FGFR1/STRC/LRIG1/OLFM3/SALL1/PRDM1/ARID1A/PROM1/SIX1/NTRK2/ATP8A2/ROR2/PDZD7/FBN2/MYO3B/VSX1/FAT1/SDK1/BCAR3/TSPAN12/GLI3/AGTPBP1/EPHB1/FBN1/MYO3A/DVL2/ZIC1/SOX11/BDNF/NKD1/WDPCP/BMP4/GSC/FRS2/STOX1/HOXC13/RPL38/MFAP5/EPHB2/RIPOR2/TULP1/HOXA1/TWIST1/WNT2/SOX1/HCN1/MEGF11/VAX2/GBX2/SOX9/ABR/ALDH1A3/FZD6/PROX1/FASLG/NIPBL/ZHX2/GNAT1/MEIS1/SIX3/PRKCI/INSIG2/PTN/CHD7/GATA3/LRIG3/VANGL2/FOXI1",87
"GO:0045666","GO:0045666","positive regulation of neuron differentiation","112/3020","380/18866",2.11886104760697e-11,9.58330582389094e-09,8.0532651095137e-09,"LIN28A/MEF2C/COBL/SLIT2/EPHA4/NTN1/EPHA3/ACTR2/CFLAR/BCL2/EZH2/IL1RAPL1/MACF1/ROBO1/GLI2/PLXNA1/RARB/KDM1A/TIAM2/TENM3/FGF20/FGFR1/ROBO2/KDM4C/NTRK3/CHODL/TOX/NRCAM/DPYSL3/ADNP/NTRK2/ATP8A2/ROR2/FYN/PLXNB1/ZMYND8/NCOA1/CSNK1E/BEND6/DAB1/NRP1/ETV5/PTPRD/CNR1/BCL6/HGF/SETX/FZD1/DVL2/BRINP1/SOX11/CDH4/PLXNC1/GPRC5B/BDNF/IL2/GDPD5/BMP4/SLITRK1/SYT1/PHOX2B/ALKAL2/PLXND1/BMP6/RNF157/RAPGEF2/VWC2L/TCF12/SNX3/FBXO38/ARSB/PLXNA4/NEUROD2/ECT2/NEUROD1/CRABP2/CPEB3/ALK/IRX3/DAB2IP/WNT3/DLG5/PLXNA2/ARHGAP35/PROX1/SEMA5A/SYT2/DVL3/TMEM106B/CAMK1D/CXCL12/TCF4/KATNB1/CBFA2T2/UNC13A/ITGA6/EFNA5/ITPKA/PRKCI/IQGAP1/BRINP3/DISC1/PTN/FMR1/BMP2/SS18L2/ADCYAP1/SYT4/ZNF804A/PRKN/TIAM1/NDEL1",112
"GO:0050803","GO:0050803","regulation of synapse structure or activity","80/3020","240/18866",2.28352377833036e-11,9.63951504292522e-09,8.1005001399719e-09,"LRFN5/ARHGAP22/GPC4/MEF2C/EPHA7/EPHA4/NTN1/ABI2/GRID2/ACTR2/NRP2/SLITRK6/IL1RAPL1/SLC7A11/NRXN1/ROBO2/NTRK3/GPC6/CTNNA2/NRCAM/ADGRL3/SIX1/ADNP/SLITRK3/NTRK2/FYN/ZMYND8/LRRTM1/ETV5/CBLN1/PTPRD/EPHB1/FZD1/IL1RAPL2/RAB17/ADGRB3/BDNF/CDH8/UBE3A/PTK2/SHISA6/SLITRK1/DNM3/ASIC2/LRRTM3/CDH2/CLSTN2/THBS2/EPHB2/PDLIM5/NEUROD2/LRRK2/DAB2IP/SLITRK5/MIR30B/DLG5/TNF/APP/CBLN2/GRIN2B/VCP/IL1RAP/CTTNBP2/PPFIA2/CLSTN1/CDK5R1/EFNA5/ITPKA/EFNA1/SLC17A6/SLITRK2/SIPA1L1/DISC1/COLQ/PTN/GAP43/ZNF804A/PRNP/TIAM1/LRRN3",80
"GO:0021953","GO:0021953","central nervous system neuron differentiation","68/3020","192/18866",3.45244046942806e-11,1.36630331577615e-08,1.14816359032624e-08,"SEMA3A/NPY/DCLK2/SLIT2/EPHA4/BCL11B/GRID2/NRP2/ROBO1/GLI2/MYCBP2/EOMES/UNC5D/FGFR2/ROBO2/MAP2/RYK/TOX/SALL1/NTRK2/GSX1/ZNF335/CDH11/SPOCK1/CSNK1E/GLI3/NRP1/AGTPBP1/CBLN1/EPHB1/SATB2/NR4A2/ZMIZ1/FZD1/B4GALT5/SFRP2/PTK2/GDPD5/NFIB/PHOX2B/SFRP1/RORA/CHD5/DCC/RAPGEF2/ID4/EPHB2/PLXNA4/LMX1A/WNT2/INHBA/SOX1/GABRB1/WNT3/AGBL4/LMO4/GBX2/ARHGAP35/PROX1/DCLK1/DMRT3/DRD1/HSP90AB1/ABT1/TBR1/DISC1/BTG2/NDEL1",68
"GO:0051963","GO:0051963","regulation of synapse assembly","45/3020","107/18866",1.17993469622155e-10,4.39490970380873e-08,3.6932321296594e-08,"LRFN5/GPC4/MEF2C/EPHA7/NTN1/GRID2/SLITRK6/IL1RAPL1/NRXN1/ROBO2/NTRK3/GPC6/ADGRL3/SIX1/ADNP/SLITRK3/NTRK2/LRRTM1/CBLN1/PTPRD/EPHB1/FZD1/IL1RAPL2/RAB17/ADGRB3/BDNF/PTK2/SLITRK1/ASIC2/LRRTM3/CLSTN2/THBS2/EPHB2/PDLIM5/SLITRK5/DLG5/APP/CBLN2/IL1RAP/CLSTN1/EFNA5/SLITRK2/COLQ/GAP43/LRRN3",45
"GO:0048839","GO:0048839","inner ear development","68/3020","197/18866",1.27199093205793e-10,4.47458143432824e-08,3.76018372020635e-08,"JAG1/FRZB/EPHA4/NTN1/TFAP2A/USH2A/FREM2/SLITRK6/GLI2/PAX2/FGFR2/SPRY2/MAFB/FGF20/FGFR1/STRC/NTRK3/LRIG1/NOX3/PCDH15/SIX1/ATG5/ATP8A2/ROR2/PDZD7/ESRRB/MYO3B/GLI3/GSDME/SOX2/OTOL1/MYO3A/DVL2/ZIC1/TRIP11/BDNF/PTPN11/OC90/WDPCP/BMP4/PHOX2B/STOX1/BMPER/ATP8B1/MAF/EPHB2/RIPOR2/NEUROD1/FAT4/HOXA1/GBX2/SOX9/ABR/ALDH1A3/FZD6/PROX1/IFT88/CDH23/CXCL14/CEBPD/INSIG2/CHD7/GATA3/BMP2/LRIG3/VANGL2/FOXI1/GABRB3",68
"GO:0043547","GO:0043547","positive regulation of GTPase activity","115/3020","406/18866",1.74118650652577e-10,5.80273313648482e-08,4.87628686453615e-08,"DENND1A/ARHGAP11A/RGS3/ARHGAP22/GIT1/ARHGAP27/ERRFI1/DEPDC1/EZH2/RSU1/DOCK9/DOCK8/TIAM2/NTRK3/ARHGAP28/ASAP1/SNX18/ARHGAP15/TBCD/RASAL2/ARHGAP24/RGS17/PREX1/RIN2/STXBP5/ARHGAP42/BNIP2/PLXNB1/SRGAP1/RGS7/TBC1D3H/BCAS3/BCAR3/RGPD5/TBC1D2/NRP1/ARHGAP10/MYO9A/DVL2/CHN2/RALGAPA1/ADGRB3/GNB5/RGS6/DOCK7/ARHGEF16/SFRP1/TBC1D1/RANBP3L/RGS5/ARHGAP29/CCR7/RAPGEF2/RAPGEF3/AGAP6/ARAP2/ALDH1A1/TBC1D8/ARHGAP18/ARHGAP40/CXCL13/AFDN/ECT2/RIN3/TBC1D16/LRRK2/IQSEC1/DAB2IP/TBC1D19/ABR/WNT4/TBC1D14/ARHGAP35/ARHGAP20/GNAQ/PIP5K1A/MMUT/DVL3/DOCK2/CHN1/MAPRE2/DENND1B/ARAP1/RALGAPA2/RGS10/VAV3/RASGRP3/ITGA6/CORO1C/DOCK1/IQGAP1/PLEKHG6/SIPA1L1/AGAP5/AGFG2/RHOG/RCC2/ARHGAP25/DOCK4/RAP1GAP/ADCYAP1/ARHGAP9/NTF3/RGL3/HACD3/TBC1D21/RAB3GAP1/RGS8/USP6NL/SIPA1L3/RABGAP1L/ARAP3/TIAM1/DOCK5/NDEL1",115
"GO:0043583","GO:0043583","ear development","74/3020","224/18866",2.02982091502471e-10,6.42641301696823e-08,5.4003919607631e-08,"JAG1/FRZB/EPHA4/NTN1/TFAP2A/USH2A/FREM2/BCL2/SLITRK6/GLI2/PAX2/FGFR2/SPRY2/MAFB/FGF20/FGFR1/STRC/NTRK3/LRIG1/NOX3/SALL1/PCDH15/SIX1/ATG5/ATP8A2/ROR2/PDZD7/ESRRB/MYO3B/GLI3/GSDME/SOX2/OTOL1/MYO3A/DVL2/ZIC1/TRIP11/BDNF/PTPN11/OC90/WDPCP/BMP4/GSC/PHOX2B/STOX1/BMPER/RPL38/ATP8B1/MAF/EPHB2/RIPOR2/NEUROD1/FAT4/HOXA1/TWIST1/GBX2/SOX9/ABR/ALDH1A3/FZD6/PROX1/IFT88/NIPBL/CDH23/CXCL14/CEBPD/INSIG2/CHD7/GATA3/BMP2/LRIG3/VANGL2/FOXI1/GABRB3",74
"GO:0021537","GO:0021537","telencephalon development","82/3020","259/18866",2.35920223791018e-10,7.11355646211775e-08,5.97782822688519e-08,"SEMA3A/NPY/KDM2B/NEUROD6/DCLK2/SLIT2/BCL11B/EZH2/ROBO1/RARB/KDM1A/SLC7A11/EOMES/CNTNAP2/ROBO2/RYK/NRG1/NRG3/SALL1/PPP1R9B/FGF13/TACC1/NTRK2/TNR/NCOA1/FOXB1/GLI3/DAB1/AGTPBP1/ZMIZ1/SECISBP2/SCN5A/BMP4/NFIB/SYNE2/TENT2/BCL2A1/KIRREL3/ID4/CDH2/BTBD3/MKKS/EPHB2/ID2/PLXNA4/PAX5/NEUROD1/LRRK2/FAT4/LMX1A/ALK/PHACTR1/SUN2/INHBA/WDR89/DAB2IP/SLITRK5/LEF1/ALDH1A3/PROX1/EFHC1/IGF2BP1/EXT1/DMRTA2/CDK6/CXCL12/DRD1/KIF14/CORO1C/CDK5R1/SIX3/TBR1/NUMB/SLC2A1/RTN4/DISC1/DNAH5/CHD7/BMP2/BTG2/NDEL1/KIF5B",82
